Year AD,Year BS,Country,Month,No of visitors
2013/2014,2070/71,Srilanka,Sept.,3236
2013/2014,2070/71,Srilanka,Oct.,3421
2013/2014,2070/71,Srilanka,Nov.,2774
2013/2014,2070/71,Srilanka,Dec.,770
2013/2014,2070/71,Sweden,Jan.,4
2013/2014,2070/71,Sweden,Feb.,5
2013/2014,2070/71,Sweden,Mar.,39
2013/2014,2070/71,Sweden,April,48
2013/2014,2070/71,Sweden,May,5
2013/2014,2070/71,Sweden,Oct.,3
2013/2014,2070/71,Sweden,Dec.,6
2013/2014,2070/71,Switzerland,Jan.,9
2013/2014,2070/71,Switzerland,Feb.,27
2013/2014,2070/71,Switzerland,Mar.,52
2013/2014,2070/71,Switzerland,April,62
2013/2014,2070/71,Switzerland,May,38
2013/2014,2070/71,Switzerland,June,20
2013/2014,2070/71,Switzerland,July,15
2013/2014,2070/71,Switzerland,Sept.,8
2013/2014,2070/71,Switzerland,Oct.,4
2013/2014,2070/71,Switzerland,Nov.,37
2013/2014,2070/71,Switzerland,Dec.,9
2013/2014,2070/71,Taiwan,Jan.,164
2013/2014,2070/71,Taiwan,Feb.,189
2013/2014,2070/71,Taiwan,Mar.,186
2013/2014,2070/71,Taiwan,April,85
2013/2014,2070/71,Taiwan,May,3
2013/2014,2070/71,Taiwan,July,30
2013/2014,2070/71,Taiwan,Aug.,28
2013/2014,2070/71,Taiwan,Sept.,32
2013/2014,2070/71,Taiwan,Oct.,113
2013/2014,2070/71,Taiwan,Nov.,241
2013/2014,2070/71,Taiwan,Dec.,262
2013/2014,2070/71,Thailand,Jan.,2430
2013/2014,2070/71,Thailand,Feb.,5074
2013/2014,2070/71,Thailand,Mar.,5145
2013/2014,2070/71,Thailand,April,1332
2013/2014,2070/71,Thailand,May,769
2013/2014,2070/71,Thailand,June,860
2013/2014,2070/71,Thailand,July,266
2013/2014,2070/71,Thailand,Aug.,165
2013/2014,2070/71,Thailand,Sept.,1230
2013/2014,2070/71,Thailand,Oct.,4370
2013/2014,2070/71,Thailand,Nov.,5606
2013/2014,2070/71,Thailand,Dec.,3448
2013/2014,2070/71,Turky,Jan.,2
2013/2014,2070/71,Turky,Feb.,8
2013/2014,2070/71,Turky,Mar.,1
2013/2014,2070/71,Turky,April,2
2013/2014,2070/71,Turky,May,4
2013/2014,2070/71,Turky,Aug.,2
2013/2014,2070/71,Turky,Oct.,1
2013/2014,2070/71,Turky,Dec.,4
2013/2014,2070/71,U.K.,Jan.,73
2013/2014,2070/71,U.K.,Feb.,106
2013/2014,2070/71,U.K.,Mar.,178
2013/2014,2070/71,U.K.,April,266
2013/2014,2070/71,U.K.,May,99
2013/2014,2070/71,U.K.,June,43
2013/2014,2070/71,U.K.,July,52
2013/2014,2070/71,U.K.,Aug.,104
2013/2014,2070/71,U.K.,Sept.,47
2013/2014,2070/71,U.K.,Oct.,230
2013/2014,2070/71,U.K.,Nov.,121
2013/2014,2070/71,U.K.,Dec.,131
2013/2014,2070/71,U.S.A.,Jan.,82
2013/2014,2070/71,U.S.A.,Feb.,258
2013/2014,2070/71,U.S.A.,Mar.,185
2013/2014,2070/71,U.S.A.,April,120
2013/2014,2070/71,U.S.A.,May,114
2013/2014,2070/71,U.S.A.,June,86
2013/2014,2070/71,U.S.A.,July,89
2013/2014,2070/71,U.S.A.,Aug.,58
2013/2014,2070/71,U.S.A.,Sept.,55
2013/2014,2070/71,U.S.A.,Oct.,111
2013/2014,2070/71,U.S.A.,Nov.,133
2013/2014,2070/71,U.S.A.,Dec.,144
2013/2014,2070/71,Ukrain,Feb.,5
2013/2014,2070/71,Ukrain,Mar.,15
2013/2014,2070/71,Ukrain,May,7
2013/2014,2070/71,Ukrain,Aug.,2
2013/2014,2070/71,Ukrain,Sept.,2
2013/2014,2070/71,Ukrain,Oct.,1
2013/2014,2070/71,Ukrain,Nov.,4
2013/2014,2070/71,Vietnam,Jan.,171
2013/2014,2070/71,Vietnam,Feb.,144
2013/2014,2070/71,Vietnam,Mar.,790
2013/2014,2070/71,Vietnam,April,210
2013/2014,2070/71,Vietnam,May,41
2013/2014,2070/71,Vietnam,June,208
2013/2014,2070/71,Vietnam,July,416
2013/2014,2070/71,Vietnam,Aug.,111
2013/2014,2070/71,Vietnam,Sept.,571
2013/2014,2070/71,Vietnam,Oct.,325
2013/2014,2070/71,Vietnam,Nov.,677
2013/2014,2070/71,Vietnam,Dec.,66
2013/2014,2070/71,Others,Jan.,29
2013/2014,2070/71,Others,Feb.,37
2013/2014,2070/71,Others,Mar.,84
2013/2014,2070/71,Others,April,46
2013/2014,2070/71,Others,May,46
2013/2014,2070/71,Others,June,14
2013/2014,2070/71,Others,July,22
2013/2014,2070/71,Others,Aug.,27
2013/2014,2070/71,Others,Sept.,8
2013/2014,2070/71,Others,Oct.,41
2013/2014,2070/71,Others,Nov.,20
2013/2014,2070/71,Others,Dec.,99
2014/2015,2071/72,Argentina,Jan.,8
2014/2015,2071/72,Argentina,Feb.,13
2014/2015,2071/72,Argentina,Mar.,4
2014/2015,2071/72,Argentina,April,9
2014/2015,2071/72,Argentina,May,3
2014/2015,2071/72,Argentina,June,5
2014/2015,2071/72,Argentina,July,4
2014/2015,2071/72,Argentina,Aug.,3
2014/2015,2071/72,Argentina,Sept.,2
2014/2015,2071/72,Austria,Jan.,10
2014/2015,2071/72,Austria,Feb.,4
2014/2015,2071/72,Austria,Mar.,30
2014/2015,2071/72,Austria,April,2
2014/2015,2071/72,Austria,May,5
2014/2015,2071/72,Austria,June,10
2014/2015,2071/72,Austria,July,42
2014/2015,2071/72,Austria,Aug.,25
2014/2015,2071/72,Australia,Jan.,211
2014/2015,2071/72,Australia,Feb.,227
2014/2015,2071/72,Australia,Mar.,181
2014/2015,2071/72,Australia,April,122
2014/2015,2071/72,Australia,May,96
2014/2015,2071/72,Australia,June,65
2014/2015,2071/72,Australia,July,99
2014/2015,2071/72,Australia,Aug.,61
2014/2015,2071/72,Australia,Sept.,95
2014/2015,2071/72,Australia,Oct.,221
2014/2015,2071/72,Australia,Nov.,227
2014/2015,2071/72,Australia,Dec.,237
2014/2015,2071/72,Bangladesh,Jan.,10
2014/2015,2071/72,Bangladesh,Feb.,6
2014/2015,2071/72,Bangladesh,Mar.,8
2014/2015,2071/72,Bangladesh,April,4
2014/2015,2071/72,Bangladesh,May,5
2014/2015,2071/72,Bangladesh,June,16
2014/2015,2071/72,Bangladesh,July,24
2014/2015,2071/72,Bangladesh,Aug.,4
2014/2015,2071/72,Belgium,Jan.,13
2014/2015,2071/72,Belgium,Feb.,5
2014/2015,2071/72,Belgium,Mar.,43
2014/2015,2071/72,Belgium,April,31
2014/2015,2071/72,Belgium,May,8
2014/2015,2071/72,Belgium,June,2
2014/2015,2071/72,Belgium,July,50
2014/2015,2071/72,Belgium,Aug.,12
2014/2015,2071/72,Belgium,Sept.,2
2014/2015,2071/72,Belgium,Oct.,79
2014/2015,2071/72,Belgium,Nov.,52
2014/2015,2071/72,Belgium,Dec.,1
2014/2015,2071/72,Bhutan,Jan.,90
2014/2015,2071/72,Bhutan,Feb.,101
2014/2015,2071/72,Bhutan,Mar.,3
2014/2015,2071/72,Bhutan,April,16
2014/2015,2071/72,Bhutan,May,24
2014/2015,2071/72,Bhutan,June,3
2014/2015,2071/72,Bhutan,July,1
2014/2015,2071/72,Bhutan,Aug.,6
2014/2015,2071/72,Bhutan,Sept.,39
2014/2015,2071/72,Bhutan,Oct.,12
2014/2015,2071/72,Bhutan,Nov.,52
2014/2015,2071/72,Brazil,Jan.,8
2014/2015,2071/72,Brazil,Feb.,20
2014/2015,2071/72,Brazil,Mar.,12
2014/2015,2071/72,Brazil,April,4
2014/2015,2071/72,Brazil,May,16
2014/2015,2071/72,Brazil,June,4
2014/2015,2071/72,Brazil,July,6
2014/2015,2071/72,Brazil,Aug.,1
2014/2015,2071/72,Brazil,Sept.,7
2014/2015,2071/72,Brazil,Oct.,31
2014/2015,2071/72,Brazil,Nov.,15
2014/2015,2071/72,Cambodia,Jan.,29
2014/2015,2071/72,Cambodia,Feb.,80
2014/2015,2071/72,Cambodia,Mar.,105
2014/2015,2071/72,Cambodia,April,1
2014/2015,2071/72,Cambodia,May,4
2014/2015,2071/72,Cambodia,June,6
2014/2015,2071/72,Cambodia,July,688
2014/2015,2071/72,Cambodia,Aug.,463
2014/2015,2071/72,Canada,Jan.,40
2014/2015,2071/72,Canada,Feb.,52
2014/2015,2071/72,Canada,Mar.,39
2014/2015,2071/72,Canada,April,37
2014/2015,2071/72,Canada,May,3
2014/2015,2071/72,Canada,June,21
2014/2015,2071/72,Canada,July,39
2014/2015,2071/72,Canada,Aug.,34
2014/2015,2071/72,Canada,Sept.,17
2014/2015,2071/72,Canada,Oct.,112
2014/2015,2071/72,Canada,Nov.,116
2014/2015,2071/72,Canada,Dec.,28
2014/2015,2071/72,Czech Republic,Jan.,1
2014/2015,2071/72,Czech Republic,Feb.,21
2014/2015,2071/72,Czech Republic,Mar.,13
2014/2015,2071/72,Czech Republic,April,2
2014/2015,2071/72,Czech Republic,May,27
2014/2015,2071/72,China,Jan.,1665
2014/2015,2071/72,China,Feb.,2670
2014/2015,2071/72,China,Mar.,1497
2014/2015,2071/72,China,April,1503
2014/2015,2071/72,China,May,859
2014/2015,2071/72,China,June,1207
2014/2015,2071/72,China,July,962
2014/2015,2071/72,China,Aug.,1329
2014/2015,2071/72,China,Sept.,1666
2014/2015,2071/72,China,Oct.,2557
2014/2015,2071/72,China,Nov.,3108
2014/2015,2071/72,China,Dec.,1695
2014/2015,2071/72,Denmark,Jan.,6
2014/2015,2071/72,Denmark,Feb.,10
2014/2015,2071/72,Denmark,Mar.,34
2014/2015,2071/72,Denmark,April,21
2014/2015,2071/72,Denmark,May,16
2014/2015,2071/72,Denmark,June,4
2014/2015,2071/72,Denmark,July,21
2014/2015,2071/72,Denmark,Aug.,12
2014/2015,2071/72,Denmark,Sept.,17
2014/2015,2071/72,Denmark,Oct.,35
2014/2015,2071/72,Denmark,Nov.,14
2014/2015,2071/72,Finland,Jan.,12
2014/2015,2071/72,Finland,Feb.,2
2014/2015,2071/72,Finland,Mar.,2
2014/2015,2071/72,Finland,April,6
